time,psi
0.03,1
0.06,1
0.1,1
0.13,1
0.16,1
0.19,1
0.22,1
0.26,1
0.29,0.6
0.32,1
0.35,1
0.38,1
0.42,1
0.45,1
0.48,1
0.51,1
0.54,1
0.58,1
0.61,1
0.64,1
0.67,1
0.7,1
0.74,1
0.77,1
0.8,1
0.83,1
0.86,1
0.9,1
0.93,1
0.96,1
0.99,1
1.02,1
1.06,1
1.09,1
1.12,1
1.15,1
1.18,1
1.22,1
1.25,1
1.28,1
1.31,1
1.34,1
1.38,1
1.41,1
1.44,1
1.47,1
1.5,1
1.54,1
1.57,1
1.6,1
1.63,1
1.66,1
1.7,1
1.73,1
1.76,1
1.79,1
1.82,1
1.86,1
1.89,1
1.92,1
1.95,1
1.98,1
2.02,1
2.05,1
2.08,1
2.11,1
2.14,1
2.18,1
2.21,1
2.24,1
2.27,1
2.3,1
2.34,1
2.37,1
2.4,1
2.43,1
2.46,1
2.5,1
2.53,1
2.56,1
2.59,1
2.62,1
2.66,1
2.69,1
2.72,1
2.75,1
2.78,1
2.82,1
2.85,1
2.88,1
2.91,1
2.94,1
2.98,1
3.01,1
3.04,1
3.07,1
3.1,1
3.14,1
3.17,1
3.2,1
3.23,1
3.26,1
3.3,1
3.33,1
3.36,1
3.39,1
3.42,1
3.46,1
3.49,1
3.52,1
3.55,1
3.58,1
3.62,1
3.65,1
3.68,1
3.71,1
3.74,1
3.78,1
3.81,1
3.84,1
3.87,1
3.9,1
3.94,1
3.97,1
4.0,1
4.03,1
4.06,1
4.1,1
4.13,1
4.16,1
4.19,1
4.22,1
4.26,1
4.29,1
4.32,1
4.35,1
4.38,1
4.42,1
4.45,1
4.48,1
4.51,1
4.54,1
4.58,1
4.61,1
4.64,1
4.67,1
4.7,1
4.74,1
4.77,1
4.8,1
4.83,1
4.86,1
4.9,1
4.93,1
4.96,1
4.99,1
5.02,1
5.06,1
5.09,1
5.12,1
5.15,1
5.18,1
5.22,1
5.25,1
5.28,1
5.31,1
5.34,1
5.38,1
5.41,1
5.44,1
5.47,1
5.5,1
5.54,1
5.57,1
5.6,1
5.63,1
5.66,1
5.7,1
5.73,1
5.76,1
5.79,1
5.82,1
5.86,1
5.89,1
5.92,1
5.95,1
5.98,1
6.02,1
6.05,1
6.08,1
6.11,1
6.14,1
6.18,1
6.21,1
6.24,1
6.27,1
6.3,1
6.34,1
6.37,1
6.4,1
6.43,1
6.46,1
6.5,1
6.53,1
6.56,1
6.59,1
6.62,1
6.66,1
6.69,1
6.72,1
6.75,1
6.78,1
6.82,1
6.85,1
6.88,1
6.91,1
6.94,1
6.98,1
7.01,1
7.04,1
7.07,1
7.1,1
7.14,1
7.17,1
7.2,1
7.23,1
7.26,1
7.3,1
7.33,1
7.36,1
7.39,1
7.42,1
7.46,1
7.49,1
7.52,1
7.55,1
7.58,1
7.62,1
7.65,1
7.68,1
7.71,1
7.74,1
7.78,1
7.81,1
7.84,1
7.87,1
7.9,1
7.94,1
7.97,1
8.0,1
8.03,1
8.06,1
8.1,1
8.13,1
8.16,1
8.19,1
8.22,1
8.26,1
8.29,1
8.32,1
8.35,1
8.38,1
8.42,1
8.45,1
8.48,1
8.51,1
8.54,1
8.58,1
8.61,1
8.64,1
8.67,1
8.7,1
8.74,1
8.77,1
8.8,1
8.83,1
8.86,1
8.9,1
8.93,1
8.96,1
8.99,1
9.02,1
9.06,1
9.09,1
9.12,1
9.15,1
9.18,1
9.22,1
9.25,1
9.28,1
9.31,1
9.34,1
9.38,1
9.41,1
9.44,1
9.47,1
9.5,1
9.54,1
9.57,1
9.6,1
9.63,1
9.66,1
9.7,1
9.73,1
9.76,1
9.79,1
9.82,1
9.86,1
9.89,1
9.92,1
9.95,1
9.98,1
10.02,1
10.05,1
10.08,1
10.11,1
10.14,1
10.18,1
10.21,1
10.24,1
10.27,1
10.3,1
10.34,1
10.37,1
10.4,1
10.43,1
10.46,1
10.5,0.6
10.53,1
10.56,1
10.59,1
10.62,1
10.66,1
10.69,1
10.72,1
10.75,1
10.78,1
10.82,1
10.85,1
10.88,1
10.91,1
10.94,1
10.98,1
11.01,1
11.04,1
11.07,1
11.1,1
11.14,1
11.17,1
11.2,1
11.23,1
11.26,1
11.3,1
11.33,1
11.36,1
11.39,1
11.42,1
11.46,1
11.49,1
11.52,1
11.55,1
11.58,1
11.62,1
11.65,1
11.68,1
11.71,1
11.74,1
11.78,1
11.81,1
11.84,1
11.87,1
11.9,1
11.94,1
