time,delta,operation
4.32,1,NORMAL
4.86,1,NORMAL
4.9,1,NORMAL
4.93,1,NORMAL
4.96,1,NORMAL
4.99,1,NORMAL
5.02,1,NORMAL
5.06,1,NORMAL
5.09,1,NORMAL
5.12,1,NORMAL
5.15,1,NORMAL
5.18,1,NORMAL
5.22,1,NORMAL
5.25,1,NORMAL
5.28,1,NORMAL
5.31,1,NORMAL
5.34,1,NORMAL
5.38,1,NORMAL
5.41,1,NORMAL
5.44,1,NORMAL
5.47,1,NORMAL
5.5,1,NORMAL
5.54,1,NORMAL
5.57,1,NORMAL
5.6,1,NORMAL
5.63,1,NORMAL
5.66,1,NORMAL
5.7,1,NORMAL
5.73,1,NORMAL
5.76,1,NORMAL
5.79,1,NORMAL
5.82,1,NORMAL
5.86,1,NORMAL
5.89,1,NORMAL
5.92,1,NORMAL
5.95,1,NORMAL
5.98,1,NORMAL
6.02,1,NORMAL
6.05,1,NORMAL
6.08,1,NORMAL
6.11,1,NORMAL
6.14,1,NORMAL
6.18,1,NORMAL
6.21,1,NORMAL
6.24,1,NORMAL
6.27,1,NORMAL
6.3,1,NORMAL
6.34,1,NORMAL
6.37,1,NORMAL
6.4,1,NORMAL
6.43,1,NORMAL
6.46,1,NORMAL
6.5,1,NORMAL
6.53,1,NORMAL
6.56,1,NORMAL
6.59,1,NORMAL
6.62,1,NORMAL
6.66,1,NORMAL
6.69,1,NORMAL
6.72,1,NORMAL
6.75,1,NORMAL
6.78,1,NORMAL
6.82,1,NORMAL
6.85,1,NORMAL
6.88,1,NORMAL
6.91,1,NORMAL
6.94,1,NORMAL
6.98,1,NORMAL
7.01,1,NORMAL
7.04,1,NORMAL
7.07,1,NORMAL
7.1,1,NORMAL
7.14,1,NORMAL
7.17,0,DISRUPTED
7.2,0,DISRUPTED
7.23,0,DISRUPTED
7.26,0,DISRUPTED
7.3,0,DISRUPTED
7.33,0,DISRUPTED
7.36,0,DISRUPTED
7.39,0,DISRUPTED
7.42,0,DISRUPTED
7.46,0,DISRUPTED
7.49,0,DISRUPTED
7.52,0,DISRUPTED
7.55,0,DISRUPTED
7.58,0,DISRUPTED
7.62,0,DISRUPTED
7.65,0,DISRUPTED
7.68,0,DISRUPTED
7.71,0,DISRUPTED
7.74,0,DISRUPTED
7.78,0,DISRUPTED
7.81,0,DISRUPTED
7.84,0,DISRUPTED
7.87,0,DISRUPTED
7.9,0,DISRUPTED
7.94,0,DISRUPTED
7.97,0,DISRUPTED
8.0,0,DISRUPTED
8.03,0,DISRUPTED
8.06,0,DISRUPTED
8.1,0,DISRUPTED
8.13,0,DISRUPTED
8.16,0,DISRUPTED
8.19,0,DISRUPTED
8.22,0,DISRUPTED
8.26,0,DISRUPTED
8.29,0,DISRUPTED
8.32,0,DISRUPTED
8.35,0,DISRUPTED
8.38,0,DISRUPTED
8.42,0,DISRUPTED
8.45,0,DISRUPTED
8.48,0,DISRUPTED
8.51,0,DISRUPTED
8.54,0,DISRUPTED
8.58,0,DISRUPTED
8.61,0,DISRUPTED
8.64,0,DISRUPTED
8.67,0,DISRUPTED
8.7,0,DISRUPTED
8.74,0,DISRUPTED
8.77,0,DISRUPTED
8.8,0,DISRUPTED
8.83,0,DISRUPTED
8.86,0,DISRUPTED
8.9,0,DISRUPTED
8.93,0,DISRUPTED
8.96,0,DISRUPTED
8.99,0,DISRUPTED
9.02,0,DISRUPTED
9.06,0,DISRUPTED
9.09,0,DISRUPTED
9.12,0,DISRUPTED
9.15,0,DISRUPTED
9.18,0,DISRUPTED
9.22,0,DISRUPTED
9.25,0,DISRUPTED
9.28,0,DISRUPTED
9.31,0,DISRUPTED
9.34,0,DISRUPTED
9.38,0,DISRUPTED
9.41,0,DISRUPTED
9.44,0,DISRUPTED
9.47,0,DISRUPTED
9.5,0,DISRUPTED
9.54,0,DISRUPTED
9.57,0,DISRUPTED
9.6,0,DISRUPTED
9.63,0,DISRUPTED
9.66,0,DISRUPTED
9.7,0,DISRUPTED
9.73,0,DISRUPTED
9.76,0,DISRUPTED
9.79,0,DISRUPTED
9.82,0,DISRUPTED
9.86,0,DISRUPTED
9.89,0,DISRUPTED
9.92,0,DISRUPTED
9.95,0,DISRUPTED
9.98,0,DISRUPTED
10.02,0,DISRUPTED
10.05,0,DISRUPTED
10.08,0,DISRUPTED
10.11,0,DISRUPTED
10.14,0,DISRUPTED
10.18,0,DISRUPTED
10.21,0,DISRUPTED
10.24,0,DISRUPTED
10.27,0,DISRUPTED
10.3,0,DISRUPTED
10.34,0,DISRUPTED
10.37,0,DISRUPTED
10.4,0,DISRUPTED
10.43,0,DISRUPTED
10.46,0,DISRUPTED
10.5,0,DISRUPTED
10.53,0,DISRUPTED
10.56,0,DISRUPTED
10.59,0,DISRUPTED
10.62,0,DISRUPTED
10.66,0,DISRUPTED
10.69,0,DISRUPTED
10.72,0,DISRUPTED
10.75,0,DISRUPTED
10.78,0,DISRUPTED
10.82,0,DISRUPTED
10.85,0,DISRUPTED
10.88,0,DISRUPTED
10.91,0,DISRUPTED
10.94,0,DISRUPTED
10.98,0,DISRUPTED
11.01,0,DISRUPTED
11.04,0,DISRUPTED
11.07,0,DISRUPTED
11.1,0,DISRUPTED
11.14,0,DISRUPTED
11.17,0,DISRUPTED
11.2,0,DISRUPTED
11.23,0,DISRUPTED
11.26,0,DISRUPTED
11.3,0,DISRUPTED
11.33,0,DISRUPTED
11.36,0,DISRUPTED
11.39,0,DISRUPTED
11.42,0,DISRUPTED
11.46,0,DISRUPTED
11.49,0,DISRUPTED
11.52,0,DISRUPTED
11.55,0,DISRUPTED
11.58,0,DISRUPTED
11.62,0,DISRUPTED
11.65,0,DISRUPTED
11.68,0,DISRUPTED
11.71,0,DISRUPTED
11.74,0,DISRUPTED
11.78,0,DISRUPTED
11.81,0,DISRUPTED
11.84,0,DISRUPTED
11.87,0,DISRUPTED
11.9,0,DISRUPTED
11.94,0,DISRUPTED
11.97,1,NORMAL
12.0,1,NORMAL
12.03,1,NORMAL
12.06,1,NORMAL
12.1,1,NORMAL
12.13,1,NORMAL
12.16,1,NORMAL
12.19,1,NORMAL
12.22,1,NORMAL
12.26,1,NORMAL
12.29,1,NORMAL
12.32,1,NORMAL
12.35,1,NORMAL
12.38,1,NORMAL
12.42,1,NORMAL
12.45,1,NORMAL
12.48,1,NORMAL
12.51,1,NORMAL
12.54,1,NORMAL
12.58,1,NORMAL
12.61,1,NORMAL
12.64,1,NORMAL
12.67,1,NORMAL
12.7,1,NORMAL
12.74,1,NORMAL
12.77,1,NORMAL
12.8,1,NORMAL
12.83,1,NORMAL
12.86,1,NORMAL
