time,delta,operation
0.03,1,NORMAL
0.06,1,NORMAL
0.1,1,NORMAL
0.13,1,NORMAL
0.16,1,NORMAL
0.19,1,NORMAL
0.22,1,NORMAL
0.26,1,NORMAL
0.29,0,DISRUPTED
0.32,1,NORMAL
0.35,1,NORMAL
0.38,1,NORMAL
0.42,1,NORMAL
0.45,1,NORMAL
0.48,1,NORMAL
0.51,1,NORMAL
0.54,1,NORMAL
0.58,1,NORMAL
0.61,1,NORMAL
0.64,1,NORMAL
0.67,1,NORMAL
0.7,1,NORMAL
0.74,1,NORMAL
0.77,1,NORMAL
0.8,1,NORMAL
0.83,1,NORMAL
0.86,1,NORMAL
0.9,1,NORMAL
0.93,1,NORMAL
0.96,1,NORMAL
0.99,1,NORMAL
1.02,1,NORMAL
1.06,1,NORMAL
1.09,1,NORMAL
1.12,1,NORMAL
1.15,1,NORMAL
1.18,1,NORMAL
1.22,1,NORMAL
1.25,1,NORMAL
1.28,1,NORMAL
1.31,1,NORMAL
1.34,1,NORMAL
1.38,1,NORMAL
1.41,1,NORMAL
1.44,1,NORMAL
1.47,1,NORMAL
1.5,1,NORMAL
1.54,1,NORMAL
1.57,1,NORMAL
1.6,1,NORMAL
1.63,1,NORMAL
1.66,1,NORMAL
1.7,1,NORMAL
1.73,1,NORMAL
1.76,1,NORMAL
1.79,1,NORMAL
1.82,1,NORMAL
1.86,1,NORMAL
1.89,1,NORMAL
1.92,1,NORMAL
1.95,1,NORMAL
1.98,1,NORMAL
2.02,1,NORMAL
2.05,1,NORMAL
2.08,1,NORMAL
2.11,1,NORMAL
2.14,1,NORMAL
2.18,1,NORMAL
2.21,1,NORMAL
2.24,1,NORMAL
2.27,1,NORMAL
2.3,1,NORMAL
2.34,1,NORMAL
2.37,1,NORMAL
2.4,1,NORMAL
2.43,1,NORMAL
2.46,1,NORMAL
2.5,1,NORMAL
2.53,1,NORMAL
2.56,1,NORMAL
2.59,1,NORMAL
2.62,1,NORMAL
2.66,1,NORMAL
2.69,1,NORMAL
2.72,1,NORMAL
2.75,1,NORMAL
2.78,1,NORMAL
2.82,1,NORMAL
2.85,1,NORMAL
2.88,1,NORMAL
2.91,1,NORMAL
2.94,1,NORMAL
2.98,1,NORMAL
3.01,1,NORMAL
3.04,1,NORMAL
3.07,1,NORMAL
3.1,1,NORMAL
3.14,1,NORMAL
3.17,1,NORMAL
3.2,1,NORMAL
3.23,1,NORMAL
3.26,1,NORMAL
3.3,1,NORMAL
3.33,1,NORMAL
3.36,1,NORMAL
3.39,1,NORMAL
3.42,1,NORMAL
3.46,1,NORMAL
3.49,1,NORMAL
3.52,1,NORMAL
3.55,1,NORMAL
3.58,1,NORMAL
3.62,1,NORMAL
3.65,1,NORMAL
3.68,1,NORMAL
3.71,1,NORMAL
3.74,1,NORMAL
3.78,1,NORMAL
3.81,1,NORMAL
3.84,1,NORMAL
3.87,1,NORMAL
3.9,1,NORMAL
3.94,1,NORMAL
3.97,1,NORMAL
4.0,1,NORMAL
4.03,1,NORMAL
4.06,1,NORMAL
4.1,1,NORMAL
4.13,1,NORMAL
4.16,1,NORMAL
4.19,1,NORMAL
4.22,1,NORMAL
4.26,1,NORMAL
4.29,1,NORMAL
4.32,1,NORMAL
4.35,1,NORMAL
4.38,1,NORMAL
4.42,1,NORMAL
4.45,1,NORMAL
4.48,1,NORMAL
4.51,1,NORMAL
4.54,1,NORMAL
4.58,1,NORMAL
4.61,1,NORMAL
4.64,1,NORMAL
4.67,1,NORMAL
4.7,1,NORMAL
4.74,1,NORMAL
4.77,1,NORMAL
4.8,1,NORMAL
4.83,1,NORMAL
4.86,1,NORMAL
4.9,1,NORMAL
4.93,1,NORMAL
4.96,1,NORMAL
4.99,1,NORMAL
5.02,1,NORMAL
5.06,1,NORMAL
5.09,1,NORMAL
5.12,1,NORMAL
5.15,1,NORMAL
5.18,1,NORMAL
5.22,1,NORMAL
5.25,1,NORMAL
5.28,1,NORMAL
5.31,1,NORMAL
5.34,1,NORMAL
5.38,1,NORMAL
5.41,1,NORMAL
5.44,1,NORMAL
5.47,1,NORMAL
5.5,1,NORMAL
5.54,1,NORMAL
5.57,1,NORMAL
5.6,1,NORMAL
5.63,1,NORMAL
5.66,1,NORMAL
5.7,1,NORMAL
5.73,1,NORMAL
5.76,1,NORMAL
5.79,1,NORMAL
5.82,1,NORMAL
5.86,1,NORMAL
5.89,1,NORMAL
5.92,1,NORMAL
5.95,1,NORMAL
5.98,1,NORMAL
6.02,1,NORMAL
6.05,1,NORMAL
6.08,1,NORMAL
6.11,1,NORMAL
6.14,1,NORMAL
6.18,1,NORMAL
6.21,1,NORMAL
6.24,1,NORMAL
6.27,1,NORMAL
6.3,1,NORMAL
6.34,1,NORMAL
6.37,1,NORMAL
6.4,1,NORMAL
6.43,1,NORMAL
6.46,1,NORMAL
6.5,1,NORMAL
6.53,1,NORMAL
6.56,1,NORMAL
6.59,1,NORMAL
6.62,1,NORMAL
6.66,1,NORMAL
6.69,1,NORMAL
6.72,1,NORMAL
6.75,1,NORMAL
6.78,1,NORMAL
6.82,1,NORMAL
6.85,1,NORMAL
6.88,1,NORMAL
6.91,1,NORMAL
6.94,1,NORMAL
6.98,1,NORMAL
7.01,1,NORMAL
7.04,1,NORMAL
7.07,1,NORMAL
7.1,1,NORMAL
7.14,1,NORMAL
7.17,1,NORMAL
7.2,1,NORMAL
7.23,1,NORMAL
7.26,1,NORMAL
7.3,1,NORMAL
7.33,1,NORMAL
7.36,1,NORMAL
7.39,1,NORMAL
7.42,1,NORMAL
7.46,1,NORMAL
7.49,1,NORMAL
7.52,1,NORMAL
7.55,1,NORMAL
7.58,1,NORMAL
7.62,1,NORMAL
7.65,1,NORMAL
7.68,1,NORMAL
7.71,1,NORMAL
7.74,1,NORMAL
7.78,1,NORMAL
7.81,1,NORMAL
7.84,1,NORMAL
7.87,1,NORMAL
7.9,1,NORMAL
7.94,1,NORMAL
7.97,1,NORMAL
8.0,1,NORMAL
8.03,1,NORMAL
8.06,1,NORMAL
8.1,1,NORMAL
8.13,1,NORMAL
8.16,1,NORMAL
8.19,1,NORMAL
8.22,1,NORMAL
8.26,1,NORMAL
