time,psi
0.54,1
0.58,1
0.61,1
0.64,1
0.67,1
0.7,1
0.74,1
0.77,1
0.8,1
0.83,1
0.86,1
0.9,1
0.93,1
0.96,1
0.99,1
1.02,1
1.06,1
1.09,1
1.12,1
1.15,1
1.18,1
1.22,1
1.25,1
1.28,1
1.31,1
1.34,1
1.38,1
1.41,1
1.44,1
1.47,1
1.5,1
1.54,1
1.57,1
1.6,1
1.63,1
1.66,1
1.7,1
1.73,1
1.76,1
1.79,1
1.82,1
1.86,1
1.89,1
1.92,1
1.95,1
1.98,1
2.02,1
2.05,1
2.08,1
2.11,1
2.14,1
2.18,1
2.21,1
2.24,1
2.27,1
2.3,1
2.34,1
2.37,1
2.4,1
2.43,1
2.46,1
2.5,1
2.53,1
2.56,1
2.59,1
2.62,1
2.66,1
2.69,1
2.72,1
2.75,1
2.78,1
2.82,1
2.85,1
2.88,1
2.91,1
2.94,1
2.98,1
3.01,1
3.04,1
3.07,1
3.1,1
3.14,1
3.17,1
3.2,1
3.23,1
3.26,1
3.3,1
3.33,1
3.36,1
3.39,1
3.42,1
3.46,1
3.49,1
3.52,1
3.55,1
3.58,1
3.62,1
3.65,1
3.68,1
3.71,1
3.74,1
3.78,1
3.81,1
3.84,1
3.87,1
3.9,1
4.45,1
4.48,1
4.51,1
4.54,1
4.58,1
4.61,1
4.64,1
4.67,1
4.7,1
4.74,1
4.77,1
4.8,1
4.83,1
4.86,1
4.9,1
4.93,1
4.96,1
4.99,1
5.02,1
5.06,1
5.09,1
5.12,1
5.15,1
5.18,1
5.22,1
5.25,1
5.28,1
5.31,1
5.34,1
5.38,1
5.41,1
5.44,1
5.47,1
5.5,1
5.54,1
5.57,1
5.6,1
5.63,1
5.66,1
5.7,1
5.73,1
5.76,1
5.79,1
5.82,1
5.86,1
5.89,1
5.92,1
5.95,1
5.98,1
6.02,1
6.05,1
6.08,1
6.11,1
6.14,1
6.18,1
6.21,1
6.24,1
6.27,1
6.3,1
6.34,1
6.37,1
6.4,1
6.43,1
6.46,1
6.5,1
6.53,1
6.56,1
6.59,1
6.62,1
6.66,1
6.69,1
6.72,1
6.75,1
6.78,1
6.82,1
6.85,1
6.88,1
6.91,1
6.94,1
6.98,1
7.01,1
7.04,1
7.07,1
7.1,1
7.14,1
7.17,0.8
7.2,0.8
7.23,0.8
7.26,0.8
7.3,0.8
7.33,0.8
7.36,0.8
7.39,0.8
7.42,0.8
7.46,0.8
7.49,0.8
7.52,0.8
7.55,0.8
7.58,0.8
7.62,0.8
7.65,0.8
7.68,0.8
7.71,0.8
7.74,0.8
7.78,0.8
7.81,0.8
7.84,0.8
7.87,0.8
7.9,0.8
7.94,0.8
7.97,0.8
8.0,0.8
8.03,0.8
8.06,0.8
8.1,0.8
8.13,0.8
8.16,0.8
8.19,0.8
8.22,0.8
8.26,0.8
8.29,0.8
8.32,0.8
8.35,0.8
8.38,0.8
8.42,0.8
8.45,0.8
8.48,0.8
8.51,0.8
8.54,0.8
8.58,0.8
8.61,0.8
8.64,0.8
8.67,0.8
8.7,0.8
8.74,0.8
8.77,0.8
8.8,0.8
8.83,0.8
8.86,0.8
8.9,0.8
8.93,0.8
8.96,0.8
8.99,0.8
9.02,0.8
9.06,0.8
9.09,0.8
9.12,0.8
9.15,0.8
9.18,0.8
9.22,0.8
9.25,0.8
9.28,0.8
9.31,0.8
9.34,0.8
9.38,0.8
9.41,0.8
9.44,0.8
9.47,0.8
9.5,0.8
9.54,0.8
9.57,0.8
9.6,0.8
9.63,0.8
9.66,0.8
9.7,0.8
9.73,0.8
9.76,0.8
9.79,0.8
9.82,0.8
9.86,0.8
9.89,0.8
9.92,0.8
9.95,0.8
9.98,0.8
10.02,0.8
10.05,0.8
10.08,0.8
10.11,0.8
10.14,0.8
10.18,0.8
10.21,0.8
10.24,0.8
10.27,0.8
10.3,0.8
10.34,0.8
10.37,0.8
10.4,0.8
10.43,0.8
10.46,0.8
10.5,0.8
10.53,0.8
10.56,0.8
10.59,0.8
10.62,0.8
10.66,0.8
10.69,0.8
10.72,0.8
10.75,0.8
10.78,0.8
10.82,0.8
10.85,0.8
10.88,0.8
10.91,0.8
10.94,0.8
10.98,0.8
11.01,0.8
11.04,0.8
11.07,0.8
11.1,0.8
11.14,0.8
11.17,0.8
11.2,0.8
11.23,0.8
11.26,0.8
11.3,0.8
11.33,0.8
11.36,0.8
11.39,0.8
11.42,0.8
11.46,0.8
11.49,0.8
11.52,0.8
11.55,0.8
11.58,0.8
11.62,0.8
11.65,0.8
11.68,0.8
11.71,0.8
11.74,0.8
11.78,0.8
11.81,0.8
11.84,0.8
11.87,0.8
11.9,0.8
11.94,0.8
11.97,1
12.0,1
12.03,1
12.06,1
12.1,1
12.13,1
12.16,1
12.19,1
12.22,1
12.26,1
12.29,1
12.32,1
12.35,1
12.38,1
12.42,1
12.45,1
12.48,1
12.51,1
12.54,1
12.58,1
12.61,1
12.64,1
12.67,1
12.7,1
12.74,1
12.77,1
12.8,1
12.83,1
12.86,1
12.9,1
12.93,1
12.96,1
12.99,1
13.02,1
13.06,1
13.09,1
13.12,1
13.15,1
13.18,1
13.22,1
13.25,1
13.28,1
13.31,1
13.34,1
13.38,1
13.41,1
13.44,1
13.47,1
13.5,1
13.54,1
13.57,1
13.6,1
13.63,1
13.66,1
13.7,1
13.73,1
13.76,1
13.79,1
13.82,1
13.86,1
13.89,1
13.92,1
13.95,1
13.98,1
14.02,1
14.05,1
14.08,1
14.11,1
14.14,1
14.18,1
14.21,1
14.24,1
14.27,1
14.3,1
14.34,1
14.37,1
14.4,1
14.43,1
14.46,1
14.5,1
14.53,1
14.56,1
14.59,1
14.62,1
14.66,1
14.69,1
14.72,1
14.75,1
14.78,1
14.82,1
14.85,1
14.88,1
14.91,1
14.94,1
14.98,1
15.01,1
15.04,1
15.07,1
15.1,1
15.14,1
15.17,1
15.2,1
15.23,1
15.26,1
15.3,1
15.33,1
15.36,1
15.39,1
15.42,1
15.46,1
15.49,1
15.52,1
15.55,1
15.58,1
15.62,1
15.65,1
15.68,1
15.71,1
15.74,1
15.78,1
15.81,1
15.84,1
15.87,1
15.9,1
15.94,1
15.97,1
16.0,1
16.03,1
16.06,1
16.1,1
16.13,1
16.16,1
16.19,1
16.22,1
16.26,1
16.29,1
16.32,1
16.35,1
16.38,1
16.42,1
16.45,1
16.48,1
16.51,1
16.54,1
16.58,1
16.61,1
16.64,1
16.67,1
16.7,1
16.74,1
16.77,1
16.8,1
16.83,1
16.86,1
16.9,1
16.93,1
16.96,1
16.99,1
17.02,1
17.06,0.8
17.09,0.8
17.12,0.8
17.15,0.8
17.18,0.8
17.22,0.8
17.25,0.8
17.28,0.8
17.31,0.8
17.34,0.8
17.38,0.8
17.41,0.8
17.44,0.8
17.47,0.8
17.5,0.8
17.54,0.8
17.57,0.8
17.6,0.8
17.63,0.8
17.66,0.8
17.7,0.8
17.73,0.8
17.76,0.8
17.79,0.8
17.82,0.8
17.86,0.8
17.89,0.8
17.92,0.8
17.95,0.8
17.98,0.8
18.02,0.8
18.05,0.8
18.08,0.8
18.11,0.8
18.14,0.8
18.18,0.8
18.21,0.8
18.24,0.8
18.27,0.8
18.3,0.8
18.34,0.8
18.37,0.8
18.4,0.8
18.43,0.8
18.46,0.8
18.5,0.8
18.53,0.8
18.56,0.8
18.59,0.8
18.62,0.8
18.66,0.8
18.69,0.8
18.72,0.8
18.75,0.8
18.78,0.8
18.82,0.8
18.85,0.8
18.88,0.8
18.91,0.8
18.94,0.8
18.98,0.8
19.01,0.8
19.04,0.8
19.07,0.8
19.1,0.8
19.14,0.8
19.17,0.8
19.2,0.8
19.23,0.8
19.26,0.8
19.3,0.8
19.33,0.8
19.36,0.8
19.39,0.8
19.42,0.8
19.46,0.8
19.49,0.8
19.52,0.8
19.55,0.8
19.58,0.8
19.62,0.8
19.65,0.8
19.68,0.8
19.71,0.8
19.74,0.8
19.78,0.8
19.81,0.8
19.84,0.8
19.87,0.8
19.9,0.8
19.94,0.8
