time,delta
26.14,1
26.18,1
26.21,1
26.24,1
26.27,1
26.3,1
26.34,1
26.37,1
26.4,1
26.43,1
26.46,1
26.5,1
26.53,1
26.56,1
26.59,1
26.62,1
26.66,1
26.69,1
26.72,1
26.75,1
26.78,1
26.82,1
26.85,1
26.88,1
26.91,1
26.94,1
26.98,1
27.01,1
27.04,1
27.07,1
27.1,0
27.14,0
27.17,0
27.2,0
27.23,0
27.26,0
27.3,0
27.33,0
27.36,0
27.39,0
27.42,0
27.46,0
27.49,0
27.52,0
27.55,0
27.58,0
27.62,0
27.65,0
27.68,0
27.71,0
27.74,0
27.78,0
27.81,0
27.84,0
27.87,0
27.9,0
27.94,0
27.97,0
28.0,0
28.03,0
28.06,0
28.1,0
28.13,0
28.16,0
28.19,0
28.22,0
28.26,0
28.29,0
28.32,0
28.35,0
28.38,0
28.42,0
28.45,0
28.48,0
28.51,0
28.54,0
28.58,0
28.61,0
28.64,0
28.67,0
28.7,0
28.74,0
28.77,0
28.8,0
28.83,0
28.86,0
28.9,0
28.93,0
28.96,0
28.99,0
29.02,0
29.06,0
29.09,0
29.12,0
29.15,0
29.18,0
29.22,0
29.25,0
29.28,0
29.31,0
29.34,0
29.38,0
29.41,0
29.44,0
29.47,0
29.5,0
29.54,0
29.57,0
29.6,0
29.63,0
29.66,0
29.7,0
29.73,0
29.76,0
30.34,0
30.37,0
30.4,0
30.43,0
30.46,0
30.5,0
30.53,0
30.56,0
30.59,0
30.62,0
30.66,0
30.69,0
30.72,0
30.75,0
30.78,0
30.82,0
30.85,0
30.88,0
30.91,0
30.94,0
30.98,0
31.01,0
31.04,0
31.07,0
31.1,0
31.14,0
31.17,0
31.2,0
31.23,0
31.26,0
31.3,0
31.33,0
31.36,0
31.39,0
31.42,0
31.46,0
31.49,0
31.52,0
31.55,0
31.58,0
31.62,0
31.65,0
31.68,0
31.71,0
31.74,0
31.78,0
31.81,0
31.84,0
31.87,0
31.9,0
31.94,0
31.97,0
32.0,0
32.03,0
32.06,0
32.1,0
32.13,0
32.16,0
32.19,0
32.22,0
32.26,0
32.29,0
32.32,0
32.35,0
32.38,0
32.42,0
32.45,1
32.48,1
32.51,1
32.54,1
32.58,1
32.61,1
32.64,1
32.67,1
32.7,1
32.74,1
32.77,1
32.8,1
32.83,1
32.86,1
32.9,1
32.93,1
32.96,1
32.99,1
33.02,1
33.06,1
33.09,1
33.12,1
33.15,1
33.18,1
33.22,1
33.25,1
33.28,1
33.31,1
33.34,1
33.38,1
33.41,1
33.44,1
33.47,1
33.5,1
33.54,1
33.57,1
33.6,1
33.63,1
33.66,1
33.7,1
33.73,1
33.76,1
33.79,1
33.82,1
33.86,1
33.89,1
33.92,1
33.95,1
33.98,1
34.02,1
34.05,1
34.08,1
34.11,1
34.14,1
34.18,1
34.21,1
34.24,1
34.27,1
34.3,1
34.34,1
34.37,1
34.4,1
34.43,1
34.46,1
34.5,1
34.53,1
34.56,1
34.59,1
34.62,1
34.66,1
34.69,1
34.72,1
34.75,1
34.78,1
34.82,1
34.85,1
34.88,1
34.91,1
34.94,1
34.98,1
35.01,1
35.04,1
35.07,1
35.1,1
35.14,1
35.17,1
35.2,1
35.23,1
35.26,1
35.3,1
35.33,1
35.36,1
35.39,1
35.42,1
35.46,1
35.49,1
35.52,1
35.55,1
35.58,1
35.62,1
35.65,1
35.68,1
35.71,1
35.74,1
35.78,1
35.81,1
35.84,1
35.87,1
35.9,1
35.94,1
35.97,1
36.0,1
36.03,1
36.06,1
36.1,1
36.13,1
36.16,1
36.19,1
36.22,1
36.26,1
36.29,1
36.32,1
36.35,1
36.38,1
36.42,1
36.45,1
36.48,1
36.51,1
36.54,1
36.58,1
36.61,1
36.64,1
36.67,1
36.7,1
36.74,0
36.77,0
36.8,0
36.83,0
36.86,0
36.9,0
36.93,0
36.96,0
36.99,0
37.02,0
