time,psi
13.82,0.67
13.86,0.67
13.89,0.67
13.92,0.67
13.95,0.67
13.98,0.67
14.02,0.67
14.05,0.67
14.08,0.67
14.11,0.67
14.14,0.67
14.18,0.67
14.21,0.67
14.24,0.67
14.27,0.67
14.3,0.67
14.34,0.67
14.37,0.67
14.4,0.67
14.43,0.67
14.46,0.67
14.5,0.67
14.53,0.67
14.56,0.67
14.59,0.67
14.62,0.67
14.66,0.67
14.69,0.67
14.72,0.67
14.75,0.67
14.78,0.67
14.82,0.67
14.85,0.67
14.88,0.67
14.91,0.67
14.94,0.67
14.98,0.67
15.01,0.67
15.04,0.67
15.07,0.67
15.1,0.67
15.14,0.67
15.17,0.67
15.2,0.67
15.23,0.67
15.26,0.67
15.3,0.67
15.33,0.67
15.36,0.67
15.39,0.67
15.42,0.67
15.46,0.67
15.49,0.67
15.52,0.67
15.55,0.67
15.58,0.67
15.62,0.67
15.65,0.67
15.68,0.67
15.71,0.67
15.74,0.67
15.78,0.67
15.81,0.67
15.84,0.67
15.87,0.67
15.9,0.67
15.94,0.67
15.97,0.67
16.0,0.67
16.03,0.67
16.06,0.67
16.1,0.67
16.13,0.67
16.16,0.67
16.19,0.67
16.22,0.67
16.26,0.67
16.29,0.67
16.32,0.67
16.35,0.67
16.38,0.67
16.42,0.67
16.45,0.67
16.48,0.67
16.51,0.67
16.54,0.67
16.58,0.67
16.61,0.67
16.64,0.67
16.67,0.67
16.7,0.67
16.74,0.67
16.77,0.67
16.8,0.67
16.83,0.67
16.86,0.67
16.9,0.67
16.93,0.67
16.96,0.67
16.99,0.67
17.02,0.67
17.06,0.67
17.09,0.67
17.12,0.67
17.15,0.67
17.18,0.67
17.22,0.67
17.25,0.67
17.28,0.67
17.31,0.67
17.34,0.67
17.38,0.67
17.41,0.67
17.44,0.67
17.47,0.67
17.5,0.67
17.54,0.67
17.57,0.67
17.6,0.67
17.63,0.67
17.66,0.67
17.7,0.67
17.73,0.67
17.76,0.67
17.79,0.67
17.82,0.67
17.86,0.67
17.89,0.67
17.92,0.67
17.95,0.67
17.98,0.67
18.02,0.67
18.05,0.67
18.08,0.67
18.11,0.67
18.14,0.67
18.18,0.67
18.21,0.67
18.24,0.67
18.27,0.67
18.3,0.67
18.34,0.67
18.37,0.67
18.4,0.67
18.43,0.67
18.46,0.67
18.5,0.67
18.53,0.67
18.56,0.67
18.59,0.67
18.62,0.67
18.66,0.67
18.69,0.67
18.72,0.67
18.75,0.67
18.78,0.67
18.82,0.67
18.85,0.67
18.88,0.67
18.91,0.67
18.94,0.67
18.98,0.67
19.01,0.67
19.04,0.67
19.07,0.67
19.1,0.67
19.14,0.67
19.17,0.67
19.2,0.67
19.23,0.67
19.26,0.67
19.3,0.67
19.33,0.67
19.36,0.67
19.39,0.67
19.42,0.67
19.46,0.67
19.49,0.67
19.52,0.67
19.55,0.67
19.58,0.67
19.62,0.67
19.65,0.67
19.68,0.67
19.71,0.67
19.74,0.67
19.78,0.67
19.81,0.67
19.84,0.67
19.87,0.67
19.9,0.67
19.94,0.67
19.97,0.67
20.0,0.67
20.03,0.67
20.06,0.67
20.1,0.67
20.13,0.67
20.16,0.67
20.19,0.67
20.22,0.67
20.26,0.67
20.29,0.67
20.32,0.67
20.35,0.67
20.38,0.67
20.42,0.67
20.45,0.67
20.48,0.67
20.51,0.67
20.54,0.67
20.58,0.67
20.61,0.67
20.64,0.67
20.67,0.67
20.7,0.67
20.74,0.67
20.77,0.67
20.8,0.67
20.83,0.67
20.86,0.67
20.9,0.67
20.93,0.67
20.96,0.67
20.99,0.67
21.02,0.67
21.06,0.67
21.09,0.67
21.12,0.67
21.15,0.67
21.18,0.67
21.22,0.67
21.25,0.67
21.28,0.67
21.31,0.67
21.34,0.67
21.38,0.67
21.41,0.67
21.44,0.67
21.47,0.67
21.5,0.67
21.54,0.67
21.57,0.67
21.6,0.67
21.63,0.67
21.66,0.67
21.7,0.67
21.73,0.67
21.76,0.67
21.79,0.67
21.82,0.67
