time,psi
17.6,0.905
17.63,0.905
17.66,0.905
17.7,0.905
17.73,0.905
17.76,0.905
17.79,0.905
17.82,0.905
17.86,0.905
17.89,0.905
17.92,0.905
17.95,0.905
17.98,0.905
18.02,0.905
18.05,0.905
18.08,0.905
18.11,0.905
18.14,0.905
18.18,0.905
18.21,0.905
18.24,0.905
18.27,0.905
18.3,0.905
18.34,0.905
18.37,0.905
18.4,0.905
18.43,0.905
18.46,0.905
18.5,0.905
18.53,0.905
18.56,0.905
18.59,0.905
18.62,0.905
18.66,0.905
18.69,0.905
18.72,0.905
18.75,0.905
18.78,0.905
18.82,0.905
18.85,0.905
18.88,0.905
18.91,0.905
18.94,0.905
18.98,0.905
19.01,0.905
19.04,0.905
19.07,0.905
19.1,0.905
19.14,0.905
19.17,0.905
19.2,0.905
19.23,0.905
19.26,0.905
19.3,0.905
19.33,0.905
19.36,0.905
19.39,0.905
19.42,0.905
19.46,0.905
19.49,0.905
19.52,0.905
19.55,0.905
19.58,0.905
19.62,0.905
19.65,0.905
19.68,0.905
19.71,0.905
19.74,0.905
19.78,0.905
19.81,0.905
19.84,1.0
19.87,1.0
19.9,1.0
19.94,1.0
19.97,1.0
20.0,1.0
20.03,1.0
20.06,1.0
20.1,1.0
20.13,1.0
20.16,1.0
20.19,1.0
20.22,1.0
20.26,1.0
20.29,1.0
20.32,1.0
20.35,1.0
20.38,1.0
20.42,1.0
20.45,1.0
20.48,1.0
20.51,1.0
20.54,1.0
20.58,1.0
20.61,1.0
20.64,1.0
20.67,1.0
20.7,1.0
20.74,1.0
20.77,1.0
20.8,1.0
20.83,1.0
20.86,1.0
20.9,1.0
20.93,1.0
20.96,1.0
20.99,1.0
21.02,1.0
21.06,1.0
21.09,1.0
21.12,1.0
21.15,1.0
21.18,1.0
21.22,1.0
21.25,1.0
21.28,1.0
21.31,1.0
21.34,1.0
21.38,1.0
21.41,1.0
21.44,1.0
21.47,1.0
21.5,1.0
21.54,1.0
21.57,1.0
21.6,1.0
21.63,1.0
21.66,1.0
21.7,1.0
21.73,1.0
21.76,1.0
21.79,1.0
21.82,1.0
21.86,1.0
21.89,1.0
21.92,1.0
21.95,1.0
21.98,1.0
22.02,1.0
22.05,1.0
22.08,1.0
22.11,1.0
22.14,1.0
22.18,1.0
22.21,1.0
22.24,1.0
22.27,1.0
22.3,1.0
22.34,1.0
22.37,1.0
22.4,1.0
22.43,1.0
22.46,1.0
22.5,1.0
22.53,1.0
22.56,1.0
22.59,1.0
22.62,1.0
22.66,1.0
22.69,1.0
22.72,1.0
22.75,1.0
22.78,1.0
22.82,1.0
22.85,1.0
22.88,1.0
22.91,1.0
22.94,1.0
22.98,1.0
23.01,1.0
23.04,1.0
23.07,1.0
23.1,1.0
23.14,1.0
23.17,1.0
23.2,1.0
23.23,1.0
23.26,1.0
23.3,1.0
23.33,1.0
23.36,1.0
23.39,1.0
23.42,1.0
23.46,1.0
23.49,1.0
23.52,1.0
23.55,1.0
23.58,1.0
23.62,1.0
23.65,1.0
23.68,1.0
23.71,1.0
23.74,1.0
23.78,1.0
23.81,1.0
23.84,1.0
23.87,1.0
23.9,1.0
23.94,1.0
23.97,1.0
24.0,1.0
24.03,1.0
24.06,1.0
