detection_rate,delta,gamma,resilient,result,theta_base,theta_crit,alpha_base,psi
1.0,0,0,NOT RESILIENT,DONE,0.75,0.95,0.05,0.9
1.0,1,1,RESILIENT,DONE,0.75,0.95,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.95,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.95,0.05,1
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.95,0.05,0.15000000000000002
