time,psi
4.32,1.0
4.86,1.0
4.9,1.0
4.93,1.0
4.96,1.0
4.99,1.0
5.02,1.0
5.06,1.0
5.09,1.0
5.12,1.0
5.15,1.0
5.18,1.0
5.22,1.0
5.25,1.0
5.28,1.0
5.31,1.0
5.34,1.0
5.38,1.0
5.41,1.0
5.44,1.0
5.47,1.0
5.5,1.0
5.54,1.0
5.57,1.0
5.6,1.0
5.63,1.0
5.66,1.0
5.7,1.0
5.73,1.0
5.76,1.0
5.79,1.0
5.82,1.0
5.86,1.0
5.89,1.0
5.92,1.0
5.95,1.0
5.98,1.0
6.02,1.0
6.05,1.0
6.08,1.0
6.11,1.0
6.14,1.0
6.18,1.0
6.21,1.0
6.24,1.0
6.27,1.0
6.3,1.0
6.34,1.0
6.37,1.0
6.4,0.67
6.43,0.67
6.46,0.67
6.5,0.67
6.53,0.67
6.56,0.67
6.59,0.67
6.62,0.67
6.66,0.67
6.69,0.67
6.72,0.67
6.75,0.67
6.78,0.67
6.82,0.67
6.85,0.67
6.88,0.67
6.91,0.67
6.94,0.67
6.98,0.67
7.01,0.67
7.04,0.67
7.07,0.67
7.1,0.67
7.14,0.67
7.17,0.67
7.2,0.67
7.23,0.67
7.26,0.67
7.3,0.67
7.33,0.67
7.36,0.67
7.39,0.67
7.42,0.67
7.46,0.67
7.49,0.67
7.52,0.67
7.55,0.67
7.58,0.67
7.62,0.67
7.65,0.67
7.68,0.67
7.71,0.67
7.74,0.67
7.78,0.67
7.81,0.67
7.84,0.67
7.87,0.67
7.9,0.67
7.94,0.67
7.97,0.67
8.0,0.67
8.03,0.67
8.06,0.67
8.1,0.67
8.13,0.67
8.16,0.67
8.19,0.67
8.22,0.67
8.26,0.67
8.29,0.67
8.32,0.67
8.35,0.67
8.38,0.67
8.42,0.67
8.45,0.67
8.48,0.67
8.51,0.67
8.54,0.67
8.58,0.67
8.61,0.67
8.64,0.67
8.67,0.67
8.7,0.67
8.74,0.67
8.77,0.67
8.8,0.67
8.83,0.67
8.86,0.67
8.9,0.67
8.93,0.67
8.96,0.67
8.99,0.67
9.02,0.67
9.06,0.67
9.09,0.67
9.12,0.67
9.15,0.67
9.18,0.67
9.22,0.67
9.25,0.67
9.28,0.67
9.31,0.67
9.34,0.67
9.38,0.67
9.41,0.67
9.44,0.67
9.47,0.67
9.5,0.67
9.54,0.67
9.57,0.67
9.6,0.67
9.63,0.67
9.66,0.67
9.7,0.67
9.73,0.67
9.76,0.67
9.79,0.67
9.82,0.67
9.86,0.67
9.89,0.67
9.92,0.67
9.95,0.67
9.98,0.67
10.02,0.67
10.05,0.67
10.08,0.67
10.11,0.67
10.14,0.67
10.18,0.67
10.21,0.67
10.24,0.67
10.27,0.67
10.3,0.67
10.34,0.67
10.37,0.67
10.4,0.67
10.43,0.67
10.46,0.67
10.5,0.67
10.53,0.67
10.56,0.67
10.59,0.67
10.62,0.67
10.66,0.67
10.69,0.67
10.72,0.67
10.75,0.67
10.78,0.67
10.82,0.67
10.85,0.67
10.88,0.67
10.91,0.67
10.94,0.67
10.98,0.67
11.01,0.67
11.04,0.67
11.07,0.67
11.1,0.67
11.14,0.67
11.17,0.67
11.2,0.67
11.23,0.67
11.26,0.67
11.3,0.67
11.33,0.67
11.36,0.67
11.39,0.67
11.42,0.67
11.46,0.67
11.49,0.67
11.52,0.67
11.55,0.67
11.58,0.67
11.62,0.67
11.65,0.67
11.68,0.67
11.71,0.67
11.74,0.67
11.78,0.67
11.81,0.67
11.84,0.67
11.87,0.67
11.9,0.67
11.94,0.67
11.97,0.67
12.0,0.67
12.03,0.67
12.06,0.67
12.1,0.67
12.13,0.67
12.16,0.67
12.19,0.67
12.22,0.67
12.26,0.67
12.29,0.67
12.32,0.67
12.35,0.67
12.38,0.67
12.42,0.67
12.45,0.67
12.48,0.67
12.51,0.67
12.54,0.67
12.58,0.67
12.61,0.67
12.64,0.67
12.67,0.67
12.7,0.67
12.74,0.67
12.77,0.67
12.8,0.67
12.83,0.67
12.86,0.67
12.9,0.67
12.93,0.67
12.96,0.67
12.99,0.67
13.02,0.67
13.06,0.67
13.09,0.67
13.12,0.67
13.15,0.67
13.18,0.67
13.22,0.67
13.25,0.67
13.28,0.67
13.31,0.67
13.34,0.67
13.38,0.67
13.41,0.67
13.44,0.67
13.47,0.67
13.5,0.67
13.54,0.67
13.57,0.67
13.6,0.67
13.63,0.67
13.66,0.67
13.7,0.67
13.73,0.67
13.76,0.67
13.79,0.67
13.82,0.67
13.86,0.67
13.89,0.67
13.92,0.67
13.95,0.67
13.98,0.67
14.02,0.67
14.05,0.67
14.08,0.67
14.11,0.67
14.14,0.67
14.18,0.67
14.21,0.67
14.24,0.67
14.27,0.67
14.3,0.67
14.34,0.67
14.37,0.67
14.4,0.67
14.43,0.67
14.46,0.67
14.5,0.67
14.53,0.67
14.56,0.67
14.59,0.67
14.62,0.67
