detection_rate,delta,gamma,resilient,result,theta_base,theta_crit,alpha_base,psi
0.9,0,1,NOT RESILIENT,DONE,0.75,0.5,0.05,0.8
0.9,0,1,NOT RESILIENT,DONE,0.75,0.5,0.05,0.8
0.9,1,1,RESILIENT,DONE,0.75,0.5,0.05,1
0.9,1,1,RESILIENT,DONE,0.75,0.5,0.05,1
,,,,,,
