detection_rate,delta,gamma,resilient,result,theta_base,theta_crit,alpha_base,psi
1.0,1,1,RESILIENT,HALTED,0.75,0.99,0.05,0.9048374180359595
1.0,1,1,RESILIENT,HALTED,0.75,0.99,0.05,0.9048374180359595
1.0,1,1,RESILIENT,HALTED,0.75,0.99,0.05,0.9048374180359595
