detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.7,1,1,RESILIENT,DONE,26.2,12.5,"{}"
0.7,0,1,NOT RESILIENT,DONE,32.5,39.7,"{LW}"
0.7,1,1,RESILIENT,DONE,24.2,3.8,"{}"
0.7,0,1,NOT RESILIENT,DONE,38.7,65.9,"{LW}"
0.7,1,1,RESILIENT,DONE,29.9,28.1,"{}"
0.7,0,1,NOT RESILIENT,DONE,24.3,4.2,"{LW}"
0.7,1,1,RESILIENT,DONE,27.2,16.7,"{}"
0.7,0,1,NOT RESILIENT,DONE,24.7,6.0,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,27.2,16.6,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,23.8,2.0,"{LW}"
0.7,1,1,RESILIENT,DONE,25.4,9.0,"{}"
0.7,0,1,NOT RESILIENT,DONE,23.9,2.6,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,24.2,3.8,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,29.0,24.3,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,24.3,4.1,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,24.5,5.2,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,27.2,16.6,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,29.2,25.3,"{LW}"
0.7,1,1,RESILIENT,DONE,30.2,29.6,"{}"
0.7,0,1,NOT RESILIENT,DONE,33.7,44.8,"{LW}"
