detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.9,0,1,NOT RESILIENT,DONE,35.7,53.4,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,23.7,1.8,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,37.2,59.7,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,23.7,1.8,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,36.7,57.7,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,31.6,35.4,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,29.6,27.0,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,25.4,9.0,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,24.2,4.0,"{LW}"
0.9,1,1,RESILIENT,DONE,26.4,13.3,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,27.4,17.7,"{LW}"
0.9,1,1,RESILIENT,DONE,26.0,11.8,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,24.7,6.2,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,38.3,64.5,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,24.0,3.1,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,35.6,52.9,"{LW}"
0.9,1,1,RESILIENT,DONE,15.4,0,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,29.9,28.3,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,31.3,34.5,"{LW}"
0.9,0,1,NOT RESILIENT,DONE,28.2,21.0,"{LW}"
