detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.9,0,1,NOT RESILIENT,DONE,34.9,49.7,"{RW}"
0.9,0,1,NOT RESILIENT,DONE,38.5,65.4,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,39.1,67.8,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,36.4,56.2,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,31.4,34.6,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,26.8,14.8,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,39.2,68.1,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,33.1,42.0,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,30.5,30.7,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,29.6,27.2,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,33.5,43.9,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,28.2,21.1,"{RW}"
0.9,0,1,NOT RESILIENT,DONE,39.9,71.1,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,37.4,60.5,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,34.4,47.8,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,41.4,77.9,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,27.6,18.7,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,26.2,12.5,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,26.9,15.4,"{RW, LW}"
0.9,0,1,NOT RESILIENT,DONE,27.6,18.4,"{LW}"
