detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.7,0,1,NOT RESILIENT,DONE,27.0,15.9,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,30.0,29.0,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,30.3,29.9,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,29.3,25.7,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,31.4,34.6,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,38.9,67.1,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,28.8,23.5,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,30.4,30.6,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,36.8,58.1,"{RW}"
0.7,0,1,NOT RESILIENT,DONE,33.8,44.9,"{LW}"
0.7,0,1,NOT RESILIENT,DONE,27.9,19.6,"{RW,LW}"
0.7,1,1,RESILIENT,DONE,28.7,23.1,"{}"
0.7,0,1,NOT RESILIENT,DONE,36.6,57.0,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,40.1,72.1,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,27.1,16.,"{RW}"
0.7,0,1,NOT RESILIENT,DONE,31.8,36.7,"{RW,LW}"
0.7,0,1,NOT RESILIENT,DONE,34.1,46.4,"{RW}"
0.7,0,1,NOT RESILIENT,DONE,36.7,57.7,"{RW,LW}"
0.7,1,1,RESILIENT,DONE,34.3,47.2,"{}"
0.7,0,1,NOT RESILIENT,DONE,26.9,15.5,"{RW}"
